id,text,quote,picture,hashtag,date.time,dow,tod,sentimentanger,sentimentanticipation,sentimentdisgust,sentimentfear,sentimentjoy,sentimentnegative,sentimentpositive,sentimentsadness,sentimentsurprise,sentimenttrust,nb_pred
880049704620494848,"The #AmazonWashingtonPost, sometimes referred to as the guardian of Amazon not paying internet taxes (which they should) is FAKE NEWS!",FALSE,FALSE,TRUE,2017-06-28T18:06:14Z,Wed,8,No,No,No,No,No,Yes,Yes,No,No,Yes,not trump
880017678978736129,"Some of the Fake News Media likes to say that I am not totally engaged in healthcare. Wrong, I know the subject well  want victory for U.S.",FALSE,FALSE,FALSE,2017-06-28T15:58:59Z,Wed,5,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,trump
880015261004435456,The failing @nytimes writes false story after false story about me. They don't even call to verify the facts of a story. A Fake News Joke!,FALSE,FALSE,FALSE,2017-06-28T15:49:22Z,Wed,5,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,trump
879828637733793793,"I just finished a great meeting with the Republican Senators concerning HealthCare. They really want to get it right, unlike OCare!",FALSE,FALSE,FALSE,2017-06-28T03:27:48Z,Tues,17,No,No,No,No,No,No,No,No,No,No,not trump
879827411008974852,"With ZERO Democrats to help, and a failed, expensive and dangerous ObamaCare as the Dems legacy, the Republican Senators are working hard!",FALSE,FALSE,FALSE,2017-06-28T03:22:55Z,Tues,17,No,No,No,Yes,No,Yes,Yes,No,No,No,trump
879682547235651584,"So they caught Fake News CNN cold, but what about NBC, CBS  ABC? What about the failing @nytimes  @washingtonpost? They are all Fake News!",FALSE,FALSE,FALSE,2017-06-27T17:47:17Z,Tues,7,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,trump
879678356450676736,Fake News CNN is looking at big management changes now that they got caught falsely pushing their phony Russian stories. Ratings way down!,FALSE,FALSE,FALSE,2017-06-27T17:30:38Z,Tues,7,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,trump
879648931172556802,"Wow, CNN had to retract big story on ""Russia,"" with 3 employees forced to resign. What about all the other phony stories they do? FAKE NEWS!",FALSE,FALSE,FALSE,2017-06-27T15:33:42Z,Tues,5,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,trump
879527520957325314,"Great day for America's future Security and Safety, courtesy of the U.S. Supreme Court. I will keep fighting for the American people,  WIN!",FALSE,FALSE,FALSE,2017-06-27T07:31:16Z,Tues,21,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,trump
879525817361068032,"From @FoxNews ""Bombshell: In 2016, Obama dismissed idea that anyone could rig an American election.""  Check out his statement - Witch Hunt!",FALSE,FALSE,FALSE,2017-06-27T07:24:30Z,Tues,21,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,trump
879405223399350272,Very grateful for the 9-O decision from the U. S. Supreme Court. We must keep America SAFE!,FALSE,FALSE,FALSE,2017-06-26T23:25:18Z,Mon,13,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,trump
879326984794517507,"Republican Senators are working very hard to get there, with no help from the Democrats. Not easy! Perhaps just let OCare crash  burn!",FALSE,FALSE,FALSE,2017-06-26T18:14:24Z,Mon,8,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,trump
879324620159160322,"..under a magnifying glass, they have zero ""tapes"" of T people colluding. There is no collusion  no obstruction. I should be given apology!",FALSE,FALSE,FALSE,2017-06-26T18:05:01Z,Mon,8,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,trump
879323238425395200,The real story is that President Obama did NOTHING after being informed in August about Russian meddling. With 4 months looking at Russia...,FALSE,FALSE,FALSE,2017-06-26T17:59:31Z,Mon,7,No,No,No,No,No,No,Yes,No,No,Yes,trump
879320905608044544,"...and did not want to ""rock the boat."" He didn't ""choke,"" he colluded or obstructed, and it did the Dems and Crooked Hillary no good.",FALSE,FALSE,FALSE,2017-06-26T17:50:15Z,Mon,7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,trump
879317636164841474,The reason that President Obama did NOTHING about Russia after being notified by the CIA of meddling is that he expected Clinton would win..,FALSE,FALSE,FALSE,2017-06-26T17:37:16Z,Mon,7,No,Yes,No,No,No,No,Yes,No,No,Yes,trump
879315860178993152,"The Democrats have become nothing but OBSTRUCTIONISTS, they have no policies or ideas. All they do is delay and complain.They own ObamaCare!",FALSE,FALSE,FALSE,2017-06-26T17:30:12Z,Mon,7,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,trump
878946025662296064,Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!,FALSE,FALSE,FALSE,2017-06-25T17:00:37Z,Sun,7,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,trump
878725385235701761,MAKE AMERICA GREAT AGAIN!,FALSE,FALSE,FALSE,2017-06-25T02:23:52Z,Sat,16,No,No,No,No,No,No,No,No,No,No,not trump
878717095701336064,I cannot imagine that these very fine Republican Senators would allow the American people to suffer a broken ObamaCare any longer!,FALSE,FALSE,FALSE,2017-06-25T01:50:56Z,Sat,15,Yes,No,No,Yes,No,Yes,No,Yes,No,No,trump
